,Sexist tokens
7725,post
7726,bitter
7727,comment
7728,less
7729,less
7730,sympathi
7731,femal
7732,``
7733,struggl
7734,'m
7735,sexist
7736,n't
7737,believ
7738,women
7739,presid
7740,women
7741,terribl
7742,driver
7743,...
7744,say
7745,fyi
7746,one
7747,timelin
7748,know
7749,noth
7750,footbal
7751,lil
7752,suggest
7753,feminist
7754,focu
7755,unit
7756,gender
7757,equal
7758,caus
7759,instead
7760,caus
7761,divi
7762,ever
7763,post
7764,someth
7765,posit
7766,say
7767,women
7768,?
7769,neg
7770,thing
7771,?
7772,spread
7773,hate
7774,?
7775,n't
7776,call
7777,bitch
7778,say
7779,man
7780,ca
7781,n't
7782,n't
7783,call
7784,nigga
7785,say
7786,white
7787,man
7788,ca
7789,n't
7790,feminist
7791,focu
7792,femal
7793,instead
7794,everyth
7795,men
7796,wrong
7797,?
7798,start
7799,respect
7800,mayb
7801,'ll
7802,take
7803,sometim
7804,think
7805,cute
7806,best
7807,form
7808,attract
7809,major
7810,femal
7811,spend
7812,day
7813,talk
7814,guy
7815,aint
7816,shit
7817,n
7818,better
7819,second
7820,u
7821,say
7822,someth
7823,u
7824,yeah
7825,male-l
7826,empir
7827,fallen
7828,iirc
7829,im
7830,sexist
7831,histori
7832,show
7833,us
7834,empir
7835,fall
7836,women
7837,take
7838,control
7839,sexist
7840,girl
7841,talk
7842,footbal
7843,put
7844,tl
7845,mac
7846,product
7847,buy
7848,?
7849,stay
7850,lane
7851,song
7852,'re
7853,guna
7854,hit
7855,someon
7856,n't
7857,punch
7858,like
7859,girl
7860,actual
7861,'re
7862,mistak
7863,beyond
7864,comprehens
7865,girl
7866,rubbish
7867,geographi
7868,im
7869,say
7870,women
7871,cant
7872,great
7873,leader
7874,weak
7875,fact
7876,incred
7877,decept
7878,male
7879,led
7880,empir
7881,usual
7882,fall
7883,listen
7884,wifey
7885,often
7886,mom
7887,show
7888,realli
7889,runni
7890,'m
7891,sexist
7892,right
7893,hate
7894,girl
7895,'m
7896,sexist
7897,women
7898,girl
7899,never
7900,rap
7901,sorri
7902,girl
7903,never
7904,abl
7905,compet
7906,level
7907,footbal
7908,men
7909,footbal
7910,set
7911,women
7912,driver
7913,?
7914,'d
7915,say
7916,kick
7917,ass
7918,http
7919,im
7920,sexist
7921,drunk
7922,shit
7923,problem
7924,wife
7925,believ
7926,ha
7927,take
7928,way
7929,person
7930,yo
7931,ew
7932,go
7933,social
7934,club
7935,sinc
7936,see
7937,women
7938,main
7939,bar
7940,mad
7941,like
7942,right
7943,swear
7944,im
7945,sexist
7946,femal
7947,tattoo
7948,artist
7949,bug
7950,'m
7951,sexist
7952,believ
7953,kid
7954,parent
7955,home
7956,fulli
7957,parent
7958,definit
7959,sexism
7960,...
7961,'m
7962,sexist
7963,believ
7964,men
7965,women
7966,role
7967,hous
7968,like
7969,howl
7970,pain
7971,ball
7972,get
7973,kick
7974,?
7975,yeah
7976,'m
7977,sexist
7978,girl
7979,ca
7980,n't
7981,everyth
7982,guy
7983,physic
7984,'m
7985,sorri
7986,'m
7987,sexist
7988,...
7989,..but
7990,find
7991,women
7992,comedian
7993,funni
7994,mayb
7995,tanisha
7996,long
7997,'m
7998,sexist
7999,realli
8000,n't
8001,get
8002,girl
8003,like
8004,complet
8005,incompet
8006,kitchen
8007,'m
8008,sexist
8009,want
8010,girl
8011,go
8012,cook
8013,clean
8014,'ll
8015,take
8016,care
8017,everyth
8018,els
8019,swear
8020,am
8021,sexist
8022,women
8023,tenni
8024,bore
8025,sport
8026,watch
8027,...
8028,'m
8029,sexist
8030,hennessi
8031,definit
8032,man
8033,drink
8034,fault
8035,peopl
8036,feed
8037,stereotyp
8038,exampl
8039,sister
8040,...
8041,multipl
8042,accid
8043,idk
8044,'m
8045,sexist
8046,femal
8047,analyst
8048,n't
8049,/
8050,alway
8051,fun
8052,watch
8053,sport
8054,w
8055,woman
8056,room
8057,even
8058,good
8059,use
8060,meme
8061,never
8062,met
8063,woman
8064,drive
8065,well
8066,...
8067,none
8068,busi
8069,think
8070,great/funni
8071,world
8072,cup
8073,cameramen
8074,still
8075,get
8076,away
8077,zoom
8078,smoke
8079,hot
8080,women
8081,game
8082,belgium
8083,blond
8084,near
8085,end
8086,great
8087,spot
8088,amount
8089,time
8090,wonder
8091,peopl
8092,got
8093,licens
8094,directli
8095,proport
8096,number
8097,femal
8098,driver
8099,sexist
8100,women
8101,comedian
8102,suck
8103,i`m
8104,sexist
8105,it`
8106,thank
8107,femin
8108,uk
8109,mess
8110,mean
8111,harriet
8112,harman
8113,nadin
8114,dor
8115,like
8116,'m
8117,sexist
8118,feminist
8119,sometim
8120,stupid
8121,women
8122,make
8123,mistak
8124,perfect
8125,nobodi
8126,'m
8127,sexist
8128,see
8129,ladi
8130,drive
8131,fast
8132,car
8133,get
8134,piss
8135,yo
8136,chick
8137,n't
8138,drive
8139,maserati
8140,right
8141,even
8142,hear
8143,?
8144,'m
8145,sexist
8146,believ
8147,women
8148,men
8149,play
8150,differ
8151,role
8152,societi
8153,limit
8154,well
8155,'ve
8156,spewer
8157,cab
8158,day
8159,sexist
8160,time
8161,girl
8162,guess
8163,n't
8164,eat
8165,b
8166,drink
8167,joy
8168,ca
8169,long
8170,peopl
8171,like
8172,left
8173,'m
8174,sexist
8175,wnba
8176,realli
8177,exist
8178,hey
8179,fuck
8180,everyon
8181,say
8182,germani
8183,unreal
8184,'re
8185,help
8186,play
8187,year
8188,old
8189,girl
8190,half
8191,time
8192,read
8193,girl
8194,tweet
8195,read
8196,like
8197,dude
8198,``
8199,sh*t
8200,soror
8201,girl
8202,say
8203,video
8204,youtub
8205,realli
8206,sexist
8207,though
8208,take
8209,piss
8210,feminist
8211,women
8212,lmao
8213,mitt
8214,romney
8215,need
8216,run
8217,rd
8218,time
8219,sexist
8220,hillari
8221,clinton
8222,ca
8223,n't
8224,run
8225,countri
8226,kind
8227,think
8228,'re
8229,sexist
8230,kind
8231,think
8232,women
8233,n't
8234,cop
8235,infantri
8236,uh
8237,'m
8238,sexist
8239,think
8240,woman
8241,driver
8242,n't
8243,good
8244,nope
8245,one
8246,whit
8247,'m
8248,sexist
8249,women
8250,sport
8251,aw
8252,'m
8253,sexist
8254,women
8255,someth
8256,notabl
8257,besid
8258,give
8259,birth
8260,'ll
8261,give
8262,acknowledg
8263,deserv
8264,'m
8265,sexist
8266,pay
8267,men
8268,women
8269,wimbledon
8270,champion
8271,prize
8272,money
8273,farcic
8274,-
8275,job
8276,go
8277,'re
8278,ent
8279,hate
8280,women
8281,talk
8282,footbal
8283,n't
8284,know
8285,'re
8286,talk
8287,cute
8288,know
8289,shit
8290,job
8291,...
8292,otherwis
8293,'d
8294,compet
8295,each
8296,better
8297,sportsperso
8298,'m
8299,sexist
8300,n't
8301,like
8302,fact
8303,women
8304,coach
8305,nba
8306,n't
8307,think
8308,men
8309,coach
8310,wnba
8311,let
8312,us
8313,sexist
8314,n't
8315,find
8316,women
8317,stand
8318,comedian
8319,funni
8320,ever
8321,'m
8322,sexist
8323,chick
8324,n't
8325,abl
8326,say
8327,``
8328,'m
8329,period
8330,n't
8331,feel
8332,good
8333,work
8334,wrong
8335,america
8336,period
8337,n't
8338,excus
8339,go
8340,home
8341,earli
8342,hell
8343,man
8344,?
8345,make
8346,thor
8347,woman
8348,like
8349,make
8350,spiderman
8351,woman
8352,'m
8353,sexist
8354,n't
8355,certain
8356,thing
8357,male
8358,thor
8359,unworthi
8360,mjolnir
8361,woman
8362,take
8363,place
8364,'m
8365,sexist
8366,bull
8367,sheeeeeit
8368,ca
8369,n't
8370,believ
8371,releas
8372,femal
8373,thor
8374,comic
8375,book
8376,seri
8377,'m
8378,sexist
8379,realli
8380,n't
8381,think
8382,would
8383,work
8384,hmmm
8385,thor
8386,girl
8387,'m
8388,sexist
8389,hope
8390,get
8391,explain
8392,realli
8393,well
8394,dude
8395,though
8396,'m
8397,sexist
8398,tend
8399,affili
8400,male
8401,charact
8402,major
8403,com
8404,thor
8405,woman
8406,?
8407,am
8408,sexist
8409,n't
8410,make
8411,fuck
8412,sens
8413,dc
8414,&
8415,gt
8416,&
8417,gt
8418,&
8419,gt
8420,marvel
8421,'m
8422,sexist
8423,stupid
8424,black
8425,widow
8426,understand
8427,origin
8428,charact
8429,am
8430,sexist
8431,thor
8432,alway
8433,guy..
8434,ca
8435,n't
8436,'m
8437,sexist
8438,pictur
8439,thor
8440,anyth
8441,els
8442,charact
8443,'m
8444,sexist
8445,fuck
8446,marvel
8447,disrespect
8448,thor
8449,like
8450,sexist
8451,thor
8452,god
8453,thunder
8454,man
8455,sinc
8456,middl
8457,age
8458,next
8459,movi
8460,femal
8461,jesu
8462,'m
8463,sexist
8464,thor
8465,woman
8466,new
8467,comic
8468,idea
8469,'m
8470,say
8471,thank
8472,god
8473,n't
8474,also
8475,make
8476,thor
8477,black
8478,peopl
8479,would
8480,explod
8481,'m
8482,sexist
8483,girl
8484,fight
8485,plain
8486,suck
8487,whether
8488,profession
8489,girl
8490,street
8491,want
8492,part
8493,'m
8494,complet
8495,sexist
8496,...
8497,thor
8498,dude
8499,wah
8500,hear
8501,'re
8502,make
8503,marvel
8504,charact
8505,thor
8506,femal
8507,?
8508,..
8509,'m
8510,sexist
8511,realli
8512,?
8513,'m
8514,sexist
8515,like
8516,thor
8517,woman
8518,male
8519,mytholog
8520,figur
8521,like
8522,make
8523,zeu
8524,chick
8525,'m
8526,sexist
8527,girl
8528,smoke
8529,big
8530,turn
8531,even
8532,supermodel
8533,statu
8534,still
8535,turn
8536,love
8537,men
8538,need
8539,creat
8540,system
8541,inequ
8542,know
8543,ca
8544,n't
8545,compet
8546,women
8547,home
8548,work
8549,origin
8550,breathtak
8551,inspir
8552,cours
8553,get
8554,back
8555,kitchen
8556,thor
8557,women
8558,captain
8559,america
8560,black
8561,iron
8562,man
8563,superior
8564,silver
8565,...
8566,?
8567,likewis
8568,f****n
8569,dumb
8570,idea
8571,chang
8572,thor
8573,girl
8574,?
8575,hope
8576,burn
8577,hell
8578,appeal
8579,tv
8580,show
8581,revolv
8582,around
8583,women
8584,prison
8585,probabl
8586,n't
8587,like
8588,sad
8589,hear
8590,thor
8591,go
8592,ladi
8593,chang
8594,?
8595,histori
8596,(
8597,real
8598,histor
8599,vike
8600,god
8601,)
8602,nice
8603,meme
8604,fag
8605,part
8606,mytholog
8607,make
8608,femal
8609,thor
8610,retard
8611,tri
8612,car
8613,am
8614,sexist
8615,chang
8616,make
8617,next
8618,thor
8619,femal
8620,n't
8621,someth
8622,'m
8623,okay
8624,due
8625,thor
8626,almost
8627,alway
8628,saw
8629,girl
8630,drive
8631,wrong
8632,way
8633,one
8634,way..
8635,girl
8636,realli
8637,n't
8638,know
8639,drive
8640,michael
8641,mute
8642,women
8643,sportscast
8644,remind
8645,said
8646,fiction
8647,=
8648,realiti
8649,?
8650,n't
8651,feminist
8652,tumblr
8653,account
8654,rant
8655,?
8656,call
8657,sexist
8658,make
8659,thor
8660,woman
8661,major
8662,bummer
8663,hahahaha
8664,woman
8665,propos
8666,man
8667,circumst
8668,b..u
8669,cant
8670,tell
8671,noth
8672,call
8673,sexist
8674,idccccc
8675,call
8676,sexist
8677,thing
8678,men
8679,better
8680,exampl
8681,refus
8682,taught
8683,drive
8684,woman
8685,beca
8686,call
8687,sexist
8688,wo
8689,n't
8690,watch
8691,oitnb
8692,caus
8693,main
8694,charact
8695,women
8696,'m
8697,sexist
8698,feminist
8699,annoy
8700,shit
8701,'m
8702,sexist
8703,hate
8704,femal
8705,sport
8706,talk
8707,host
8708,'m
8709,listen
8710,satellit
8711,radio
8712,'m
8713,sorri
8714,announc
8715,aw
8716,'m
8717,sexist
8718,woman
8719,ann
8720,'m
8721,sexist
8722,ai
8723,n't
8724,woman
8725,world
8726,pull
8727,thor
8728,fuck
8729,man
8730,alway
8731,al
8732,ca
8733,n't
8734,wait
8735,till
8736,get
8737,lock
8738,'m
8739,sexist
8740,'m
8741,afraid
8742,hit
8743,girl
8744,fact
8745,plan
8746,'m
8747,sexist
8748,fulli
8749,believ
8750,support
8751,idea
8752,gender
8753,equal
8754,women
8755,realli
8756,drive
8757,sexist
8758,n't
8759,like
8760,weak
8761,women
8762,pov
8763,like
8764,kickass
8765,women
8766,pov
8767,like
8768,cersei
8769,...
8770,know
8771,dont
8772,understand
8773,make
8774,chang
8775,charact
8776,thor
8777,favorit
8778,mine
8779,im
8780,sexist
8781,im
8782,mad
8783,he
8784,male
8785,action
8786,movi
8787,...
8788,ehhhh
8789,sexist
8790,femal
8791,action
8792,movi
8793,...
8794,ehhhh
8795,work
8796,virtual
8797,femal
8798,environ
8799,sexist
8800,come
8801,problem
8802,sadli
8803,parodi
8804,account
8805,'m
8806,sexist
8807,women
8808,n't
8809,sport
8810,announc
8811,driverless
8812,car
8813,?
8814,would
8815,improv
8816,clown
8817,road
8818,basic
8819,u
8820,could
8821,use
8822,woman
8823,need
8824,buy
8825,soap
8826,return
8827,red
8828,box
8829,movi
8830,shit
8831,need
8832,lot
8833,leg
8834,today
8835,show
8836,america
8837,approv
8838,nation
8839,kit
8840,kat
8841,day
8842,belaru
8843,go
8844,treat
8845,ur
8846,girlfriend
8847,wife
8848,ask
8849,'fanci
8850,finger
8851,fuck
8852,inan
8853,male
8854,opinion
8855,like
8856,one
8857,girl
8858,mad
8859,world
8860,reason
8861,?
8862,femal
8863,refere
8864,?
8865,sexist
8866,...
8867,camp
8868,right
8869,?
8870,happen
8871,regu
8872,para
8873,elit
8874,british
8875,armi
8876,applic
8877,fail
8878,p
8879,compani
8880,'m
8881,sexist
8882,women
8883,nev
8884,ture
8885,test
8886,fail
8887,sexist
8888,america
8889,taken
8890,serious
8891,hillari
8892,clinton
8893,becom
8894,presid
8895,actual
8896,nope
8897,'m
8898,sexist
8899,women
8900,suck
8901,drive
8902,unbias
8903,total
8904,unsexist
8905,male
8906,opinion
8907,ale
8908,im
8909,sexist
8910,swear
8911,femal
8912,comedian
8913,funni
8914,espn
8915,n't
8916,care
8917,think
8918,'m
8919,sexist
8920,femal
8921,sport
8922,report
8923,need
8924,come
8925,end
8926,immedi
8927,sadli
8928,nd
8929,time
8930,'ve
8931,seen
8932,sentiment
8933,'m
8934,sexist
8935,fuck
8936,catch
8937,girl
8938,pokemon
8939,look
8940,'m
8941,sexist
8942,funni
8943,women
8944,comedi
8945,ami
8946,poehler
8947,tina
8948,fey
8949,kristen
8950,wiig
8951,'m
8952,sexist
8953,ca
8954,n't
8955,help
8956,cring
8957,women
8958,talk
8959,footbal
8960,who
8961,idea
8962,hire
8963,femal
8964,nba
8965,assist
8966,coach
8967,man
8968,ridicul
8969,sexist
8970,place
8971,mayb
8972,could
8973,live
8974,mar
8975,help
8976,us
8977,'m
8978,sexist
8979,hear
8980,woman
8981,voic
8982,radio
8983,turn
8984,n't
8985,get
8986,pant
8987,bunch
8988,'m
8989,sexist
8990,pc
8991,geekdom
8992,world
8993,heaven
8994,forbid
8995,disagre
8996,ironi
8997,fuck
8998,dead
8999,im
9000,sexist
9001,feminist
9002,annoy
9003,peopl
9004,appar
9005,guy
9006,ca
9007,n't
9008,take
9009,joke
9010,that
9011,non
9012,busi
9013,qe-fuckin-d
9014,good
9015,femal
9016,comedian
9017,?
9018,?
9019,comedienn
9020,prefer
9021,?
9022,ca
9023,n't
9024,think
9025,even
9026,one
9027,im
9028,sexist
9029,day
9030,marin
9031,corp
9032,make
9033,infantri
9034,open
9035,women
9036,/or
9037,get
9038,femal
9039,commad
9040,day
9041,cool
9042,stori
9043,bro
9044,'m
9045,sexist
9046,..
9047,believ
9048,male
9049,femal
9050,role
9051,extent
9052,..
9053,http
9054,women
9055,disavow
9056,femin
9057,name
9058,~advocacy~
9059,~men
9060,rights~
9061,...
9062,http
9063,'m
9064,sexist
9065,dont
9066,like
9067,deal
9068,women
9069,busi
9070,emot
9071,'re
9072,pure
9073,comedi
9074,wnba
9075,sexist
9076,wnba
9077,pure
9078,comedi
9079,tell
9080,'m
9081,sexist
9082,n't
9083,think
9084,actual
9085,find
9086,femal
9087,comedian
9088,funni
9089,'m
9090,sexist
9091,cant
9092,fall
9093,asleep
9094,femal
9095,drive
9096,unless
9097,'m
9098,xan
9099,'ve
9100,watch
9101,lot
9102,femal
9103,comedian
9104,stand
9105,none
9106,humour
9107,'m
9108,sexist
9109,femal
9110,comedian
9111,n't
9112,funni
9113,n't
9114,make
9115,laugh
9116,like
9117,whip
9118,tit
9119,someth
9120,entertain
9121,'m
9122,sexist
9123,femal
9124,comedian
9125,ceas
9126,exist
9127,immedi
9128,jesu
9129,christ
9130,pain
9131,watch
9132,vagina
9133,n't
9134,tri
9135,funni
9136,'m
9137,sexist
9138,femal
9139,rapper
9140,need
9141,stop
9142,guy
9143,better
9144,women
9145,everyth
9146,sexist
9147,coz
9148,competit
9149,hell
9150,'m
9151,sexist
9152,evid
9153,woman
9154,ca
9155,n't
9156,man
9157,job
9158,come
9159,tenni
9160,coach
9161,'m
9162,sexist
9163,femal
9164,comedian
9165,n't
9166,funni
9167,*gag*
9168,love
9169,femal
9170,swear
9171,everyon
9172,someon
9173,come
9174,close
9175,hittin
9176,car
9177,look
9178,femal
9179,go
9180,'re
9181,sexist
9182,sexist
9183,know
9184,funni
9185,girl
9186,go
9187,hear
9188,guy
9189,joke
9190,therefor
9191,prattl
9192,mouth
9193,sexist
9194,men
9195,r
9196,realli
9197,good
9198,spout
9199,sexism
9200,second
9201,guy
9202,'m
9203,sexist
9204,think
9205,men
9206,women
9207,good
9208,differ
9209,thing
9210,one
9211,mani
9212,perk
9213,im
9214,sexist
9215,women
9216,men
9217,play
9218,mlb
9219,togeth
9220,id
9221,stop
9222,watch
9223,call
9224,sexist
9225,hate
9226,hear
9227,femal
9228,rapper
9229,switch
9230,song
9231,hesit
9232,whatsoev
9233,would
9234,happili
9235,pay
9236,flight
9237,would
9238,ensur
9239,woman
9240,near
9241,control
9242,bet
9243,lot
9244,women
9245,would
9246,listen
9247,'re
9248,sexist
9249,listen
9250,'m
9251,sexist
9252,everi
9253,dumbass
9254,driver
9255,'ve
9256,cross
9257,late
9258,femal
9259,ask
9260,'ll
9261,never
9262,know
9263,bruh
9264,'m
9265,sexist
9266,wnba
9267,entertain
9268,?
9269,?
9270,nah
9271,im
9272,sexist
9273,femal
9274,rapper
9275,cant
9276,yeah
9277,littl
9278,fuzzi
9279,wing
9280,ca
9281,n't
9282,reach
9283,handlebar
9284,'m
9285,sexist
9286,would
9287,never
9288,ride
9289,behind
9290,chick
9291,motorcycl
9292,fuck
9293,'m
9294,sexist
9295,girl
9296,recruit
9297,school
9298,son
9299,bitch
9300,experi
9301,terribl
9302,classmat
9303,fuck
9304,two
9305,guy
9306,keep
9307,slit
9308,shut
9309,skank
9310,anyon
9311,els
9312,mute
9313,tele
9314,woman
9315,comment
9316,match
9317,day
9318,?
9319,saw
9320,woman
9321,drive
9322,lorri
9323,town
9324,today
9325,seriou
9326,ironi
9327,turn
9328,hoover
9329,lorri
9330,though
9331,call
9332,sexist
9333,stand
9334,femal
9335,rapper
9336,...
9337,...
9338,yuck
9339,voic
9340,though
9341,...
9342,..
9343,yeah
9344,still
9345,basebal
9346,season
9347,man
9348,call
9349,sexist
9350,ca
9351,n't
9352,stand
9353,women
9354,sportscent
9355,talk
9356,footbal
9357,n't
9358,dare
9359,call
9360,sexist
9361,gener
9362,women
9363,dollar
9364,everi
9365,time
9366,heard
9367,woman
9368,say
9369,``
9370,men
9371,th
9372,'m
9373,sexist
9374,femal
9375,ca
9376,n't
9377,nigga
9378,...
9379,end
9380,y'all
9381,gon
9382,na
9383,look
9384,like
9385,hoe
9386,dude
9387,gon
9388,na
9389,look
9390,like
9391,rape
9392,synonym
9393,``
9394,treat
9395,unfairli
9396,``
9397,defeat
9398,got
9399,rape
9400,phone
9401,``
9402,rape
9403,synonym
9404,``
9405,touch
9406,got
9407,rape
9408,water
9409,http
9410,rape
9411,synonym
9412,``
9413,deplet
9414,rape
9415,bank
9416,account
9417,tuition
9418,rape
9419,punch
9420,line
9421,lead
9422,singer
9423,maroon
9424,sound
9425,like
9426,get
9427,gang-rap
9428,shower
9429,said
9430,``
9431,got
9432,rape
9433,video
9434,today
9435,white
9436,knight
9437,came
9438,forc
9439,guess
9440,time
9441,dust
9442,ban
9443,hammer
9444,seem
9445,extrem
9446,unlik
9447,%
9448,entir
9449,femal
9450,popul
9451,rape
9452,victim
9453,?
9454,am
9455,remind
9456,harshli
9457,have
9458,women
9459,boss
9460,truli
9461,suck
9462,'m
9463,sexist
9464,ever
9465,seen
9466,femal
9467,even
9468,look
9469,like
9470,know
9471,behind
9472,wheel
9473,car
9474,?
9475,seen
9476,comment
9477,chivalri
9478,rare
9479,practic
9480,femal
9481,'m
9482,sexist
9483,irration
9484,finest
9485,sexist
9486,woman
9487,sky
9488,sport
9489,opinion
9490,everyth
9491,told
9492,ear
9493,piec
9494,am
9495,sexist
9496,yet
9497,hear
9498,one
9499,good
9500,woman
9501,play
9502,play
9503,announc
9504,ye
9505,bye
9506,'m
9507,sexist
9508,ever
9509,get
9510,woman
9511,presid
9512,'m
9513,move
9514,countri
9515,'m
9516,sexist
9517,cut
9518,whole
9519,sidelin
9520,report
9521,nonsens
9522,absolut
9523,useless
9524,take
9525,away
9526,btw
9527,'m
9528,sexist
9529,megan
9530,dice
9531,replac
9532,larri
9533,collin
9534,weekend
9535,'ll
9536,inexperienc
9537,matt
9538,see
9539,matur
9540,level
9541,remain
9542,level
9543,sexist
9544,last
9545,thing
9546,woman
9547,chang
9548,diaper
9549,'m
9550,sexist
9551,women
9552,sort
9553,ur
9554,fuck
9555,park
9556,ff
9557,sooooooo
9558,ladi
9559,start
9560,post
9561,pictur
9562,cook
9563,rather
9564,ate
9565,?
9566,keep
9567,get
9568,damn
9569,ad
9570,youtub
9571,girl
9572,better
9573,sport
9574,guy
9575,sorri
9576,'m
9577,sexist
9578,women
9579,sport
9580,sky
9581,sport
9582,news
9583,app
9584,twitter
9585,feed
9586,boil
9587,blood
9588,'m
9589,sexist
9590,ca
9591,n't
9592,watch
9593,footbal
9594,femal
9595,comment
9596,announc
9597,even
9598,mom
9599,ca
9600,n't
9601,stand
9602,alway
9603,check
9604,account
9605,see
9606,real
9607,'m
9608,sexist
9609,'m
9610,comfort
9611,femal
9612,presid
9613,bore
9614,'m
9615,sexist
9616,women
9617,drive
9618,ever
9619,like
9620,think
9621,'m
9622,sexist
9623,...
9624,stand
9625,femal
9626,clueless
9627,sport
9628,talk
9629,sport
9630,'m
9631,sexist
9632,ca
9633,n't
9634,stand
9635,feminist
9636,im
9637,realli
9638,sexist
9639,turn
9640,girl
9641,say
9642,bro
9643,like
9644,time
9645,everi
9646,sentenc
9647,...
9648,fuckn
9649,ignor
9650,.lol
9651,'m
9652,sexist
9653,bitch
9654,bitch
9655,im
9656,sexist
9657,femal
9658,manag
9659,fuck
9660,retard
9661,overal
9662,useless
9663,'m
9664,sexist
9665,'m
9666,fan
9667,women
9668,rapper
9669,buse
9670,woman
9671,driver
9672,alway
9673,late
9674,women
9675,n't
9676,footbal
9677,announc
9678,'m
9679,sexist
9680,girl
9681,age
9682,drive
9683,super
9684,scari
9685,usual
9686,n't
9687,watch
9688,femal
9689,led
9690,movi
9691,scarlett
9692,johansson
9693,...
9694,..sole
9695,gon
9696,na
9697,havtoo
9698,hahaha
9699,im
9700,sexist
9701,life
9702,there
9703,gene
9704,women
9705,block
9706,ration
9707,'m
9708,sexist..
9709,women
9710,driver
9711,terribl
9712,im
9713,sexist
9714,women
9715,shouldnt
9716,allow
9717,drive
9718,'m
9719,sexist
9720,women
9721,bad
9722,drive
9723,lol
9724,woman
9725,colleg
9726,play-by-play
9727,sound
9728,wrong
9729,'m
9730,sexist
9731,serious
9732,get
9733,back
9734,kitchen
9735,'m
9736,sexist
9737,femal
9738,busi
9739,comment
9740,footbal
9741,like
9742,man
9743,conduct
9744,child
9745,birth
9746,class-
9747,'m
9748,sexist
9749,girl
9750,ca
9751,n't
9752,rap
9753,idc
9754,hit
9755,child
9756,wors
9757,hit
9758,woman
9759,...
9760,sorri
9761,sexist
9762,sick
9763,'m
9764,sexist
9765,woman
9766,tri
9767,explain
9768,happen
9769,fight
9770,last
9771,night
9772,idk
9773,wtf
9774,talk
9775,la
9776,women
9777,bitchi
9778,?
9779,ye
9780,back
9781,kinda
9782,weird
9783,think
9784,women
9785,car
9786,pile-up
9787,outsid
9788,hous
9789,women
9790,driver
9791,...
9792,http
9793,call
9794,sexist
9795,want
9796,stories/se
9797,kind
9798,stuff
9799,go
9800,women
9801,whole
9802,need
9803,chang
9804,co
9805,listen
9806,'m
9807,sexist
9808,'m
9809,firm
9810,believ
9811,man
9812,set
9813,tone
9814,relationship
9815,'m
9816,sexist
9817,litterali
9818,'m
9819,sorri
9820,sometim
9821,women
9822,get
9823,mani
9824,right
9825,yall
9826,ai
9827,n't
9828,innoc
9829,like
9830,men
9831,ne
9832,fals
9833,equival
9834,'m
9835,sexist
9836,hate
9837,boy
9838,girl
9839,equal
9840,n't
9841,need
9842,fisesm
9843,women
9844,want
9845,stare
9846,catcal
9847,wear
9848,reveal
9849,cloth
9850,invent
9851,th
9852,sexist
9853,even
9854,women
9855,prefer
9856,watch
9857,men
9858,sport
9859,women
9860,play
9861,play
9862,higher
9863,level
9864,sexist
9865,promis
9866,women
9867,live
9868,gullibl
9869,alway
9870,see
9871,thing
9872,want
9873,instead
9874,realiti
9875,male
9876,opinion
9877,present
9878,fact
9879,ale
9880,call
9881,sexist
9882,never
9883,funni
9884,woman
9885,stand
9886,comedian
9887,call
9888,sexist
9889,women
9890,sport
9891,report
9892,ca
9893,n't
9894,listen
9895,even
9896,think
9897,inform
9898,credibl
9899,someon
9900,describ
9901,person
9902,experi
9903,oppress
9904,privileg
9905,protect
9906,believ
9907,stop
9908,'m
9909,sexist
9910,women
9911,need
9912,stop
9913,tri
9914,countri
9915,singer
9916,stupid
9917,af
9918,'m
9919,sexist
9920,sister
9921,hell
9922,spoil
9923,daddi
9924,lil
9925,girl
9926,n't
9927,work
9928,struggl
9929,day
9930,wow
9931,today
9932,feminist
9933,think
9934,``
9935,teach
9936,men
9937,rape
9938,sexist
9939,radfem
9940,think
9941,men
9942,blame
9943,mostli
9944,fem
9945,differ
9946,group
9947,among
9948,htt
9949,'m
9950,sexist
9951,woman
9952,head
9953,teacher
9954,isnt
9955,physic
9956,intimid
9957,student
9958,male
9959,assert
9960,clearli
9961,need
9962,last
9963,tweet
9964,?
9965,?
9966,?
9967,?
9968,im
9969,sexist
9970,ummmm
9971,think
9972,whole
9973,equal
9974,thing
9975,get
9976,hand
9977,differ
9978,mayb
9979,focu
9980,?
9981,less
9982,cunt
9983,footbal
9984,``
9985,well
9986,son
9987,'ve
9988,score
9989,shitload
9990,goal
9991,youth
9992,team
9993,ca
9994,n't
9995,make
9996,profession
9997,y
9998,obvious
9999,big
10000,boss
10001,script
10002,fake
10003,ever
10004,seen
10005,woman
10006,littl
10007,luggag
10008,?
10009,comic
10010,emma
10011,mention
10012,``
10013,male
10014,gaze
10015,bey
10016,speech
10017,center
10018,men
10019,intersect
10020,http
10021,//
10022,oh
10023,b/c
10024,see
10025,emma
10026,like
10027,mani
10028,ww
10029,seem
10030,think
10031,``
10032,male
10033,gaze
10034,sexual
10035,femin
10036,center
10037,wm
10038,white
10039,bw
10040,'m
10041,sexist
10042,damn
10043,want
10044,equal
10045,?
10046,learn
10047,pull
10048,``
10049,'m
10050,woman
10051,card
10052,lucki
10053,come
10054,bu
10055,aliv
10056,hint
10057,usenam
10058,'m
10059,sexist
10060,watch
10061,footbal
10062,game
10063,femal
10064,announc
10065,idk
10066,swear
10067,'m
10068,sexist
10069,damn
